Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2015,108.90712720549027,102.10051751096128,85.51384761364719,8.90712720549027,2.100517510961282,-14.486152386352813,23.39348893667567,22.54778385551542,26.057828014641544,0.3807524063469609,0.09315849062689475,-0.5559232480240962,-16.307265237753455,-16.600319564171826,-22.290334365508738
2016,147.57736275811112,106.57927719095079,81.08700083558962,35.50753430457891,4.386618000744883,-5.176760140717939,27.70234850458211,27.207441701413465,33.093086976261596,1.2817517727316796,0.16122860976366593,-0.15643025821167256,-16.413206471654682,-17.756165521812328,-20.770508956109737
2017,165.4453650537884,124.33814630482053,71.75922389633476,12.10754953316526,16.662591060786035,-11.503418356991245,20.334268503013263,18.81531455910974,19.75117294752219,0.595425870931678,0.8855866325508,-0.582416972782083,-17.92494807308306,-24.12839091122451,-26.878291834982598
2018,139.4763691199149,101.75401568916281,66.91553304661082,-15.69641792348227,-18.16347700752407,-6.749920897585603,26.024036512797974,26.55034399824446,28.08427147793935,-0.6031507800783773,-0.6841145639666687,-0.2403452374717206,-24.161430310278448,-30.439928277659327,-30.714201243670747
2019,164.58444518686196,128.14999408536215,90.61571607791291,18.001670265276537,25.940969717434566,35.41805908471721,21.73368306242007,22.420924500079106,21.29854511446539,0.8282843829817048,1.1569982191119301,1.6629332611391483,-14.063149353708152,-13.636178190988565,-17.585541780804814
2020,193.53975618833704,101.08190047059608,110.73864729622088,17.59298150478345,-21.1221965384842,22.206888704610506,45.97288103123203,48.84764723949793,59.50658961551852,0.3826817269257396,-0.4324097010225072,0.37318369021133163,-46.90381775198558,-55.856660964082806,-64.48053880925818
2021,306.39762458589206,123.76980178026771,150.05832888353058,58.31249900290821,22.44506801321109,35.50673820507427,32.15192068961712,22.28797974825268,26.149967527795067,1.8136552265675119,1.0070481159231457,1.3578119424941464,-16.539472833129736,-13.880338424745272,-17.678701856180595
2022,276.12630853938856,153.95157143797275,125.08066868652165,-9.879748933242,24.38540679841085,-16.645300785933458,28.236292537386916,26.712105682652783,33.66707795368504,-0.34989540217294784,0.9128972117779196,-0.49440883491082843,-25.76123738771446,-16.172003234377566,-37.160010765577745
2023,396.088238150886,209.0785222251378,160.2110957582239,43.44458528636913,35.80798186875004,28.08621623197943,28.82545278550451,26.676200603375246,33.40454293532652,1.507160550422166,1.3423194105167804,0.8407903166451423,-26.652148017723988,-21.91160710431336,-37.16482145750772
2024,325.17263917634665,170.09697221418546,142.72526776876208,-17.90399010725604,-18.644454531286872,-10.914242803663146,24.922003950116572,23.13452356955532,23.517529800941407,-0.7184009015925179,-0.8059147825210755,-0.46408967676640295,-23.553293864371483,-27.90693590921906,-21.524127160836613
