Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2015,58.506874047976126,66.06994275476555,67.59648300182798,-41.493125952023874,-33.93005724523445,-32.40351699817202,45.1203082235498,44.32847898704626,47.335538125987846,-0.9196108711501936,-0.76542344832426,-0.6845494586314221,-48.02688166543227,-52.75608120134616,-46.1240001081942
2016,118.94392104738732,127.75635258350215,178.5332491316421,103.29905328705873,93.36531447847702,164.1161806107784,58.404485621801626,47.73986479487582,52.22194895708176,1.7686835555058558,1.9557096543871741,3.1426667117624456,-27.898236216256905,-24.74953830345103,-33.21554295615563
2017,159.24646559510884,189.90803960162805,176.0503019894677,33.883652222684816,48.64860788625228,-1.3907477482491715,34.359138422116814,31.9634098333016,33.48485301170882,0.9861612886333049,1.5220093269137678,-0.04153363754539587,-27.715370573662046,-19.8313467237187,-35.73152127929167
2018,202.8878793612605,192.77847124978183,190.1629957579072,27.40494968165377,1.5114850609669372,8.016284896395009,37.75936229922216,35.33475998243497,36.35061428260432,0.7257789330361204,0.04277615191721415,0.22052680689446347,-27.185006172943233,-28.143173718540304,-33.487221539079364
2019,239.10496380172677,225.91078813111216,243.6933844704868,17.85078761456145,17.18673079339912,28.149739910875244,29.845149967855868,30.577230410579592,32.942011009623016,0.5981135170634857,0.5620761122777355,0.8545240271655591,-32.747960200482254,-33.43444497582648,-25.7411580783852
2020,199.96687344792525,193.11682737400872,262.18434712099275,-16.368581283931867,-14.516332322328388,7.587798368299721,62.285046065254726,68.8216231049528,72.34400090671679,-0.262801142778041,-0.21092691028502797,0.10488497004863925,-60.489991020027524,-65.90116398986034,-64.4556844650863
2021,217.96388748183873,249.74878434049862,220.1320316590232,8.999997711421036,29.325231641679245,-16.039216651848122,37.83439693087579,35.40586585226467,37.79008327490563,0.23787871464858326,0.8282591298301356,-0.424429248678023,-40.513751612786535,-24.25954950122709,-35.02382627898479
2022,224.39203681796886,211.5972101605676,300.50670568423266,2.9491808989072754,-15.275979933466463,36.512030266320814,40.336640283042925,40.158264229059164,41.73454281569018,0.07311419290780839,-0.38039442756623226,0.8748635495437618,-30.212686193995808,-45.2074002891984,-30.552859420463975
2023,319.52855656189195,276.92069557100655,393.7248200174463,42.397458079628585,30.871619413540053,31.02031088489774,30.201119484517534,29.88359842937797,32.35011986378743,1.4038373015067687,1.0330623163236854,0.9588932286962476,-27.044950879198343,-19.72393374690772,-18.74133233068084
2024,253.4827991753225,187.08117093988582,247.26550166304315,-20.66975111621253,-32.442329543435854,-37.198396166112516,25.2253959918958,25.631170811654773,28.359646417004747,-0.8194024435871347,-1.2657373235827358,-1.3116664297975154,-26.679244819833738,-33.711512541239614,-37.83938563095556
